year,song,length,album,artist,plays,last_played
1964,Be My Husband,3:23,Pastel Blues,Nina Simone,NA,NA
1964,Nobody Knows You When You're Down and Out,2:41,Pastel Blues,Nina Simone,NA,NA
1964,End of the Line,2:57,Pastel Blues,Nina Simone,NA,NA
1964,Trouble in Mind,2:43,Pastel Blues,Nina Simone,NA,NA
1964,Tell Me More and More and Then Some,3:11,Pastel Blues,Nina Simone,NA,NA
1964,Chilly Winds Don't Blow,4:04,Pastel Blues,Nina Simone,NA,NA
1964,Ain't No Use,3:03,Pastel Blues,Nina Simone,NA,NA
1964,Strange Fruit,3:32,Pastel Blues,Nina Simone,NA,NA
1964,Sinnerman,10:22,Pastel Blues,Nina Simone,NA,NA
1965,She Has a Way,2:29,Mr. Tambourine Man,The Byrds,NA,NA
1965,I’ll Feel a Whole Lot Better (alternate version),2:32,Mr. Tambourine Man,The Byrds,NA,NA
1965,It’s No Use (alternate version),2:28,Mr. Tambourine Man,The Byrds,NA,NA
1965,You Won’t Have to Cry (alternate version),2:12,Mr. Tambourine Man,The Byrds,NA,NA
1965,All I Really Want to Do (single version),2:07,Mr. Tambourine Man,The Byrds,NA,NA
1965,You and Me (instrumental),2:12,Mr. Tambourine Man,The Byrds,NA,NA
1965,I Put A Spell On You,2:37,I Put A Spell On You,Nina Simone,NA,NA
1965,Tomorrow Is My Turn,2:53,I Put A Spell On You,Nina Simone,NA,NA
1965,Ne Me Quitte Pas,3:39,I Put A Spell On You,Nina Simone,NA,NA
1965,Marriage Is For Old Folks,3:34,I Put A Spell On You,Nina Simone,NA,NA
1965,July Tree,2:45,I Put A Spell On You,Nina Simone,NA,NA
1965,Gimme Some,3:02,I Put A Spell On You,Nina Simone,NA,NA
1965,Feeling Good,2:58,I Put A Spell On You,Nina Simone,NA,NA
1965,One September Day,2:52,I Put A Spell On You,Nina Simone,NA,NA
1965,Blues On Purpose,3:20,I Put A Spell On You,Nina Simone,NA,NA
1965,Beautiful Land,1:57,I Put A Spell On You,Nina Simone,NA,NA
1965,You've Got To Learn,2:44,I Put A Spell On You,Nina Simone,NA,NA
1965,Take Care Of Business,2:04,I Put A Spell On You,Nina Simone,NA,NA
1966,Scarborough Fair Canticle,3:14,"Parsley, Sage, Rosemary and Thyme",Simon & Garfunkel,18,28/05/2020 15:08
1966,Patterns,2:46,"Parsley, Sage, Rosemary and Thyme",Simon & Garfunkel,18,28/05/2020 15:11
1966,Cloudy,2:17,"Parsley, Sage, Rosemary and Thyme",Simon & Garfunkel,18,28/05/2020 15:13
1966,Homeward Bound,2:33,"Parsley, Sage, Rosemary and Thyme",Simon & Garfunkel,18,28/05/2020 15:16
1966,The Big Bright Green Pleasure Machine,2:46,"Parsley, Sage, Rosemary and Thyme",Simon & Garfunkel,18,28/05/2020 15:18
1966,The 59th Street Bridge Song (Feelin' Groovy),1:42,"Parsley, Sage, Rosemary and Thyme",Simon & Garfunkel,18,28/05/2020 15:20
1966,The Dangling Conversation,2:42,"Parsley, Sage, Rosemary and Thyme",Simon & Garfunkel,18,28/05/2020 15:23
1966,Flowers Never Bend With the Rainfall,2:16,"Parsley, Sage, Rosemary and Thyme",Simon & Garfunkel,18,28/05/2020 15:25
