artist,country,letter
(Sandy) Alex G,USA,A
...And You Will Know Us By The Trail Of Dead,USA,A
1000mods,Greece,#
16 HORSEPOWER,USA,#
2 A.m. Orchestra,New Zealand,#
A Certain Ratio,England,C
A Perfect Circle,USA,P
A Silver Mt. Zion,Canada,S
A Sunny Day in Glasgow,USA,S
A Whisper In The Noise,USA,W
A Winged Victory For The Sullen,Belgium,W
A.A.L (Against All Logic),USA,A
AC/DC,Australia,A
Adele,England,A
Adrianne Lenker,USA,A
Aesop Rock,USA,A
Against All Logic,,A
Aimee Mann,USA,A
Ainara Legardon,Spain,A
Air,France,A
Alan Parsons,England,A
Aldous Harding,New Zealand,A
Alexisonfire,Canada,A
Alice in Chains,USA,A
All Fires,Australia,A
All Them Witches,USA,A
Allah-Las,USA,A
Alphastates,Ireland,A
Altin Gun,Netherlands,A
Alt-J,England,A
American Football,USA,A
Amsterband,USA,A
Anathema,England,A
Andrew Bird,USA,A
Angel Olsen,USA,A
Angeles Drake,Unknown,A
Angus & Julia Stone,Australia,A
Animal Collective,USA,A
Ann Magnuson,USA,A
ANOHNI,England,A
Antimatter,England,A
Aphex Twin,England,A
Aphrodite's Child,Greece,A
Apollo Sunshine,USA,A
Apparat,Germany,A
Arab Strap,Scotland,A
Arca,Venezuela,A
Arcade Fire,Canada,A
Architecture in Helsinki,Australia,A
Archive,England,A
Arctic Monkeys,England,A
At the Drive-In,USA,A
Atoms For Peace,USA,A
Audiotransparent,Netherlands,A
Augie March,Australia,A
Autechre,England,A
Avalanches,Australia,A
Avey Tare,USA,A
Avey Tare's Slasher Flicks,USA,A
Azure Ray,USA,A
Bad Religion,USA,B
BADBADNOTGOOD,Canada,B
Badly Drawn Boy,England,B
Band of Horses,USA,B
Bang Gang,Iceland,B
Bardo Pond,USA,B
Bark Psychosis,England,B
Bartees Strange,USA,B
Battles,USA,B
Bauhaus,England,B
Beach House,USA,B
Beck,USA,B
Beirut,USA,B
Belle & Sebastian,Scotland,B
Ben Folds Five,USA,B
Ben Kweller,USA,B
Bernard Fanning,Australia,B
Beyoncé,USA,B
Biffy Clyro,Scotland,B
Bill Callahan,USA,B
Birds Of Tokyo,Australia,B
Bjork,Iceland,B
Björk,Iceland,B
Black Cab,Australia,B
Black Eyed Peas,USA,B
Black Midi,England,B
Black Sabbath,England,B
Black Science,New Zealand,B
Black Veil Brides,USA,B
Blind Melon,USA,B
Blink 182,USA,B
Bliss N Eso,Australia,B
Bloc Party,England,B
Blockhead,USA,B
Blonde Redhead,USA,B
Blueneck,England,B
Blur,England,B
Boards Of Canada,Scotland,B
Bob Dylan,USA,B
Bombino,Niger,B
Bon Iver,USA,B
Bonobo,England,B
Boris,Japan,B
Bowery Electric,USA,B
Boy And Bear,Australia,B
Brad,USA,B
Brand New,USA,B
Brazzaville,USA,B
Brendan Perry,England,B
Bright Eyes,USA,B
British India,Australia,B
Broken Social Scene,Canada,B
Bruce Springsteen,USA,B
Built To Spill,USA,B
Burbuja,Unknown,B
Burial,England,B
Bush,England,B
bZARK,Australia,B
C.R. Avery,Canada,C
Cake,USA,C
Calexico,USA,C
Calla,USA,C
Calvin Harris,Scotland,C
Camp Cope,Australia,C
Can,Germany,C
Captain Beefheart & His Magic Band,USA,C
Caribou,Canada,C
Carole King,USA,C
Cat Power,USA,C
Cat Stevens,England,C
Cate Le Bon,Wales,C
Catherine Wheel,England,C
Chet Faker,Australia,C
Chic,USA,C
Chills,New Zealand,C
Chris Bell,USA,C
Chris Isaak,USA,C
CHVRCHES,Scotland,C
Citizen Cope,USA,C
City & Colour,Canada,C
Clams Casino,USA,C
Clinic,England,C
Closure In Moscow,Australia,C
Cloud Control,Australia,C
Cloud Nothings,USA,C
cLOUDDEAD,USA,C
Cocorosie,USA,C
Cocteau Twins,Scotland,C
Cold War Kids,USA,C
Coldplay,England,C
Concrete Blonde,USA,C
Congo Norvell,USA,C
Cooper Temple Clause,England,C
Coparck,Netherlands,C
Cordrazine,Australia,C
Cornershop,England,C
Courtney Barnett,Australia,C
Crash Test Dummies,Canada,C
Cream,England,C
Creed,USA,C
Creedence Clearwater Revival,USA,C
Cursive,USA,C
Cymande,England,C
Dadawah,Jamaica,D
Daft Punk,France,D
Damien Rice,Ireland,D
Danger Mouse & Daniele Luppi,USA,D
Dangerdoom,USA,D
Danielson Family,USA,D
Danny Brown,USA,D
Dappled Cities,Australia,D
Darkside,USA,D
Daughter,England,D
Daughters,USA,D
Dax Riggs,USA,D
Dead Can Dance,Australia,D
Dead Letter Circus,Australia,D
Deadmau5,Canada,D
Deafheaven,USA,D
Death Cab for Cutie,USA,D
Death In Vegas,England,D
Deerhunter,USA,D
Deftones,USA,D
Delgados,Scotland,D
Deltron,USA,D
Department Of Eagles,USA,D
